id,seller_id,contact_id,contact_warehouse_id,visit_type,latitude_checkin,longitude_checkin,latitude_checkout,longitude_checkout,test,distance,checkin_date,checkout_date,observation,photo,checkout_ok,created_at,updated_at,sales_management,collection,training
13,38,1118,1090,847,4.0978637,-73.6502498,4.0978637,-73.6502498,0,8203368,2020-07-07 10:46:59,2020-07-07 10:47:29,,,SI,2020-07-07 10:46:59,2020-07-07 10:47:29,t,f,f
16,7,8,4,847,4.6564345,-74.1578974,4.6564249,-74.1578847,0,8261035,2020-07-07 11:09:07,2020-07-07 11:11:03,,,SI,2020-07-07 11:09:07,2020-07-07 11:11:03,t,f,f
14,38,1118,1090,847,4.0978834,-73.6502579,4.0978834,-73.6502579,0,8203369,2020-07-07 10:47:54,2020-07-07 11:11:38,,,SI,2020-07-07 10:47:54,2020-07-07 11:11:38,t,f,f
17,78,79,54,847,4.656429,-74.1579167,4.656429,-74.1579167,0,8261037,2020-07-07 11:11:56,2020-07-07 11:12:09,,,SI,2020-07-07 11:11:56,2020-07-07 11:12:09,t,f,f
18,38,7668,7881,847,4.0978673,-73.6502447,4.0978641,-73.6502436,0,8203367,2020-07-07 11:16:20,2020-07-07 11:17:18,,,SI,2020-07-07 11:16:20,2020-07-07 11:17:18,t,f,f
20,38,7668,7881,847,4.097988,-73.6502135,,,0,8203364,2020-07-07 11:19:35,,,,NO,2020-07-07 11:19:35,2020-07-07 11:19:35,t,f,f
21,78,79,54,847,4.6564425,-74.1578573,4.6564354,-74.1578635,0,8261030,2020-07-07 11:19:57,2020-07-07 11:21:54,,,SI,2020-07-07 11:19:57,2020-07-07 11:21:54,t,f,f
19,38,7668,7881,847,4.0978974,-73.6502496,4.0978974,-73.6502496,0,8203368,2020-07-07 11:17:30,2020-07-07 12:08:36,,,SI,2020-07-07 11:17:30,2020-07-07 12:08:36,t,f,f
15,21,1645,1618,847,4.1469856,-73.62278,4.1445318,-73.6322428,0,8200431,2020-07-07 11:02:06,2020-07-07 12:11:22,,,SI,2020-07-07 11:02:06,2020-07-07 12:11:22,t,f,f
22,38,7668,7881,847,4.0979011,-73.6502561,4.0979206,-73.6502827,0,8203369,2020-07-07 12:09:19,2020-07-07 12:37:57,,,SI,2020-07-07 12:09:19,2020-07-07 12:37:57,t,f,f
24,38,7668,7881,847,4.0979061,-73.6502738,4.0979061,-73.6502738,0,8203370,2020-07-07 12:38:11,2020-07-07 12:39:28,,,SI,2020-07-07 12:38:11,2020-07-07 12:39:28,t,f,f
25,38,1902,1877,847,4.0978794,-73.6502628,,,0,8203369,2020-07-07 13:54:07,,,,NO,2020-07-07 13:54:07,2020-07-07 13:54:07,t,f,f
23,21,1645,1618,847,4.1445902,-73.6322466,4.145405,-73.5867267,0,8201476,2020-07-07 12:11:34,2020-07-07 14:54:29,,,SI,2020-07-07 12:11:34,2020-07-07 14:54:29,t,f,f
27,21,2832,2811,847,4.145405,-73.5867267,4.145405,-73.5867117,0,8196425,2020-07-07 14:54:41,2020-07-07 14:59:17,,,SI,2020-07-07 14:54:41,2020-07-07 14:59:17,t,f,f
28,9,2542,2520,847,4.6617063,-74.0665647,4.6617061,-74.0665614,0,8250917,2020-07-07 15:15:20,2020-07-07 15:16:37,,,SI,2020-07-07 15:15:20,2020-07-07 15:16:37,f,t,f
26,123,248,217,847,4.4450495,-75.2371584,4.4451117,-75.237389,0,8380277,2020-07-07 14:54:29,2020-07-07 15:31:42,,,SI,2020-07-07 14:54:29,2020-07-07 15:31:42,t,t,f
29,9,2361,2337,847,4.6053953,-74.2009633,4.6053873,-74.2009669,0,8265685,2020-07-07 20:06:30,2020-07-07 20:08:39,,,SI,2020-07-07 20:06:30,2020-07-07 20:08:39,f,t,f
30,38,1902,1877,847,4.0979082,-73.6502899,4.0979185,-73.6502977,0,8203372,2020-07-08 13:36:10,2020-07-08 15:49:27,,,SI,2020-07-08 13:36:10,2020-07-08 15:49:27,t,f,f
31,123,1951,1926,847,4.4357039,-75.2334391,4.4312582,-75.2250221,0,8379844,2020-07-08 15:06:39,2020-07-08 15:54:31,,,SI,2020-07-08 15:06:39,2020-07-08 15:54:31,t,f,f
32,38,782,754,847,4.0979039,-73.6502747,4.097867,-73.6502577,0,8203371,2020-07-08 15:49:42,2020-07-09 07:40:56,,,SI,2020-07-08 15:49:42,2020-07-09 07:40:56,t,f,f
33,38,1701,1674,847,4.0979297,-73.650198,4.0979206,-73.6502644,0,8203362,2020-07-09 07:41:09,2020-07-09 08:00:45,,,SI,2020-07-09 07:41:09,2020-07-09 08:00:45,t,f,f
34,38,749,721,847,4.0978818,-73.6502632,4.0978818,-73.6502632,0,8203369,2020-07-09 08:00:57,2020-07-09 08:37:47,,,SI,2020-07-09 08:00:57,2020-07-09 08:37:47,t,f,f
35,38,552,522,847,4.0979111,-73.6502697,4.0979149,-73.6502582,0,8203370,2020-07-09 08:38:07,2020-07-09 09:46:16,,,SI,2020-07-09 08:38:07,2020-07-09 09:46:16,t,f,f
36,38,1054,1026,847,4.0979182,-73.6502625,4.0978716,-73.6502661,0,8203369,2020-07-09 09:58:32,2020-07-09 10:30:02,,,SI,2020-07-09 09:58:32,2020-07-09 10:30:02,t,f,f
37,38,552,522,847,4.0978759,-73.650266,4.0979152,-73.6502541,0,8203370,2020-07-09 10:30:15,2020-07-09 11:02:52,,,SI,2020-07-09 10:30:16,2020-07-09 11:02:52,t,f,f
38,38,54,35,847,4.0979006,-73.6502654,4.0979006,-73.6502654,0,8203370,2020-07-09 11:03:00,2020-07-09 11:06:35,,,SI,2020-07-09 11:03:00,2020-07-09 11:06:35,t,f,f
39,38,552,522,847,4.0979073,-73.650256,4.0978669,-73.6502718,0,8203369,2020-07-09 11:06:49,2020-07-09 11:37:54,,,SI,2020-07-09 11:06:49,2020-07-09 11:37:54,t,f,f
40,38,782,754,847,4.0979205,-73.6502691,4.0979078,-73.6502716,0,8203370,2020-07-09 11:38:11,2020-07-09 11:58:52,,,SI,2020-07-09 11:38:11,2020-07-09 11:58:52,t,f,f
41,38,782,754,847,4.0979129,-73.650268,4.0978667,-73.6502652,0,8203370,2020-07-09 11:59:14,2020-07-09 13:52:46,,,SI,2020-07-09 11:59:14,2020-07-09 13:52:46,t,f,f
42,38,2676,2655,847,4.097883,-73.6502609,4.0978705,-73.6502704,0,8203369,2020-07-09 13:52:59,2020-07-09 14:29:22,,,SI,2020-07-09 13:52:59,2020-07-09 14:29:22,t,f,f
43,38,136,107,847,4.0979115,-73.6502511,4.0978791,-73.6502623,0,8203368,2020-07-09 14:30:05,2020-07-09 15:13:43,,,SI,2020-07-09 14:30:05,2020-07-09 15:13:43,t,f,f
44,38,1902,1877,847,4.0978878,-73.6502659,,,0,8203370,2020-07-09 15:14:02,,,,NO,2020-07-09 15:14:02,2020-07-09 15:14:02,t,f,f
45,38,1902,1877,847,4.1002506,-73.648697,4.1002506,-73.648697,0,8203201,2020-07-09 15:35:10,2020-07-09 15:40:39,,,SI,2020-07-09 15:35:10,2020-07-09 15:40:39,t,f,f
48,38,136,107,847,4.0979056,-73.6502777,,,0,8203371,2020-07-09 16:23:43,,,,NO,2020-07-09 16:23:43,2020-07-09 16:23:43,t,f,f
51,9,2897,3440,847,4.6054,-74.2009675,4.6053955,-74.2009657,0,8265686,2020-07-09 19:10:05,2020-07-09 19:10:43,,,SI,2020-07-09 19:10:05,2020-07-09 19:10:43,t,f,f
54,46,1603,3488,847,3.4439408,-76.4929059,3.4439408,-76.4929059,0,8517836,2020-07-10 09:05:59,2020-07-10 09:06:38,,,SI,2020-07-10 09:05:59,2020-07-10 09:06:38,t,f,f
55,46,1603,3491,847,3.4439278,-76.4929024,3.44394,-76.4928979,0,8517836,2020-07-10 09:07:59,2020-07-10 09:15:27,,,SI,2020-07-10 09:07:59,2020-07-10 09:15:27,t,f,f
56,46,1782,1756,847,3.4439521,-76.4929069,3.4439521,-76.4929069,0,8517836,2020-07-10 09:15:43,2020-07-10 09:18:32,,,SI,2020-07-10 09:15:43,2020-07-10 09:18:32,t,f,f
52,38,136,107,847,4.0979003,-73.650283,4.0978798,-73.6502565,0,8203371,2020-07-10 08:36:28,2020-07-10 09:45:45,,,SI,2020-07-10 08:36:28,2020-07-10 09:45:45,t,f,f
4,40,3274,3259,847,5.5205943,-73.365085,5.52131,-73.3667617,0,8175576,2020-07-06 12:41:13,2020-07-10 16:38:26,,,SI,2020-07-06 12:41:13,2020-07-10 16:38:26,t,f,f
58,21,1413,1385,847,4.1454183,-73.586615,4.145385,-73.5867283,0,8196413,2020-07-10 09:46:24,2020-07-10 09:48:42,,,SI,2020-07-10 09:46:24,2020-07-10 09:48:42,t,f,f
59,21,1413,1385,847,4.1454116,-73.5866901,4.1454117,-73.5866983,0,8196421,2020-07-10 09:49:04,2020-07-10 09:51:32,,,SI,2020-07-10 09:49:04,2020-07-10 09:51:32,t,f,f
57,38,2230,2206,847,4.0978869,-73.6502664,4.0978939,-73.6502559,0,8203370,2020-07-10 09:45:58,2020-07-10 09:58:05,,,SI,2020-07-10 09:45:58,2020-07-10 09:58:05,t,f,f
61,9,416,383,847,4.619388,-74.1901066,,,0,8264516,2020-07-10 10:08:23,,,,NO,2020-07-10 10:08:23,2020-07-10 10:08:23,f,f,t
60,38,1936,1911,847,4.0978806,-73.6502598,4.0979119,-73.6502627,0,8203369,2020-07-10 09:58:20,2020-07-10 10:31:08,,,SI,2020-07-10 09:58:20,2020-07-10 10:31:08,t,f,f
62,7,8,4,847,4.6564104,-74.1578925,4.6564104,-74.1578925,0,8261034,2020-07-10 11:01:27,2020-07-10 11:03:40,,,SI,2020-07-10 11:01:27,2020-07-10 11:03:40,t,f,f
63,46,2731,2710,847,3.4461761,-76.5035688,3.446209,-76.5035911,0,8519025,2020-07-10 12:13:15,2020-07-10 12:46:19,,,SI,2020-07-10 12:13:15,2020-07-10 12:46:19,t,f,f
64,46,2271,2247,847,3.4462479,-76.5035843,3.4579157,-76.5078141,0,8519026,2020-07-10 12:47:20,2020-07-10 14:28:34,,,SI,2020-07-10 12:47:20,2020-07-10 14:28:34,t,f,f
65,46,1086,1058,847,3.4619712,-76.5074588,3.4621191,-76.5074828,0,8519481,2020-07-10 14:28:48,2020-07-10 14:28:57,,,SI,2020-07-10 14:28:48,2020-07-10 14:28:57,t,f,f
66,46,2884,2863,847,3.4717085,-76.5234005,3.4615175,-76.4825919,0,8521268,2020-07-10 15:14:30,2020-07-10 15:53:16,,,SI,2020-07-10 15:14:30,2020-07-10 15:53:16,t,f,f
67,46,319,287,847,3.4615327,-76.4825809,3.4615327,-76.4825809,0,8516717,2020-07-10 15:53:28,2020-07-10 15:53:32,,,SI,2020-07-10 15:53:28,2020-07-10 15:53:32,t,f,f
68,46,217,186,847,3.4615381,-76.4825926,3.4615381,-76.4825926,0,8516718,2020-07-10 15:53:49,2020-07-10 15:53:54,,,SI,2020-07-10 15:53:49,2020-07-10 15:53:54,t,f,f
71,40,1071,1043,847,5.52131,-73.3667617,5.52131,-73.3667617,0,8175764,2020-07-10 16:38:36,2020-07-10 16:38:37,,,SI,2020-07-10 16:38:36,2020-07-10 16:38:37,t,f,f
86,21,1659,1632,847,4.144389,-73.6316692,4.1442744,-73.6316427,0,8201412,2020-07-11 11:02:49,2020-07-11 11:04:34,,,SI,2020-07-11 11:02:49,2020-07-11 11:04:34,t,f,f
72,40,1071,1043,847,5.52131,-73.3667617,5.5448498,-73.3934887,0,8175764,2020-07-10 16:38:46,2020-07-10 17:10:41,,,SI,2020-07-10 16:38:46,2020-07-10 17:10:41,t,f,f
70,38,1902,1877,847,4.0981053,-73.6498794,4.0980831,-73.6498616,0,8203327,2020-07-10 16:37:48,2020-07-10 17:31:22,,,SI,2020-07-10 16:37:48,2020-07-10 17:31:22,t,f,f
74,38,2120,2095,847,4.0981099,-73.6498634,,,0,8203325,2020-07-10 17:36:34,,,,NO,2020-07-10 17:36:34,2020-07-10 17:36:34,t,f,f
69,46,7725,7964,847,3.4383124,-76.4931115,3.4439405,-76.4929198,0,8517850,2020-07-10 16:22:30,2020-07-11 08:18:51,,,SI,2020-07-10 16:22:30,2020-07-11 08:18:51,t,f,f
75,46,1194,1166,847,3.4439545,-76.4929088,3.4439545,-76.4929088,0,8517837,2020-07-11 08:19:03,2020-07-11 08:19:18,,,SI,2020-07-11 08:19:03,2020-07-11 08:19:18,t,f,f
76,38,54,35,847,4.0979168,-73.650258,,,0,8203369,2020-07-11 09:44:02,,,,NO,2020-07-11 09:44:02,2020-07-11 09:44:02,t,f,f
77,38,2676,2655,847,4.0979116,-73.6502659,4.0979116,-73.6502659,0,8203370,2020-07-11 09:48:38,2020-07-11 09:49:24,,,SI,2020-07-11 09:48:38,2020-07-11 09:49:24,t,f,f
78,21,2736,2715,847,4.1445224,-73.6316308,4.1442121,-73.6317195,0,8201408,2020-07-11 10:32:56,2020-07-11 10:33:52,,,SI,2020-07-11 10:32:56,2020-07-11 10:33:52,t,f,f
79,21,1659,1632,847,4.1442115,-73.6316791,4.1444098,-73.6316922,0,8201412,2020-07-11 10:34:16,2020-07-11 10:35:44,,,SI,2020-07-11 10:34:16,2020-07-11 10:35:44,t,f,f
80,21,3185,3165,847,4.1445282,-73.6316388,4.1441476,-73.6316927,0,8201408,2020-07-11 10:36:37,2020-07-11 10:37:54,,,SI,2020-07-11 10:36:37,2020-07-11 10:37:54,t,f,f
81,21,1897,1872,847,4.1445401,-73.6317274,,,0,8201418,2020-07-11 10:40:30,,,,NO,2020-07-11 10:40:30,2020-07-11 10:40:30,t,f,f
82,21,1897,1872,847,4.1445401,-73.6317274,4.1444642,-73.6317511,0,8201418,2020-07-11 10:40:33,2020-07-11 10:42:36,,,SI,2020-07-11 10:40:33,2020-07-11 10:42:36,t,f,f
84,38,2728,2707,847,4.0978921,-73.6502669,4.0978901,-73.6502665,0,8203370,2020-07-11 10:43:25,2020-07-11 10:44:18,,,SI,2020-07-11 10:43:25,2020-07-11 10:44:18,t,f,f
83,21,1897,1872,847,4.1444313,-73.6317532,4.1443611,-73.6317392,0,8201421,2020-07-11 10:42:50,2020-07-11 10:51:07,,,SI,2020-07-11 10:42:50,2020-07-11 10:51:07,t,f,f
85,38,39,23,847,4.0979114,-73.6502704,4.0978769,-73.6502699,0,8203370,2020-07-11 10:45:19,2020-07-11 11:13:49,,,SI,2020-07-11 10:45:19,2020-07-11 11:13:49,t,f,f
87,21,2736,2715,847,4.1379644,-73.6345067,4.1381713,-73.6346744,0,8201712,2020-07-11 11:31:35,2020-07-11 11:33:25,cliente nos programa pago para el día lunes en la tarde,,SI,2020-07-11 11:31:35,2020-07-11 11:33:25,f,t,f
88,46,1453,1425,847,3.4425554,-76.5328235,3.4425554,-76.5328235,0,8522269,2020-07-11 11:41:20,2020-07-11 11:41:25,,,SI,2020-07-11 11:41:20,2020-07-11 11:41:25,t,f,f
89,46,1782,1756,847,3.4424268,-76.5328042,3.4424268,-76.5328042,0,8522267,2020-07-11 11:41:34,2020-07-11 11:41:39,,,SI,2020-07-11 11:41:34,2020-07-11 11:41:39,t,f,f
90,21,2113,2088,847,4.1336762,-73.6179475,4.1336477,-73.6179855,0,8199864,2020-07-11 11:55:26,2020-07-11 11:56:30,,,SI,2020-07-11 11:55:26,2020-07-11 11:56:30,f,t,f
91,21,2113,2088,847,4.1337252,-73.6179836,4.1337302,-73.6180063,0,8199868,2020-07-11 11:56:50,2020-07-11 11:57:03,,,SI,2020-07-11 11:56:50,2020-07-11 11:57:03,f,t,f
92,21,2113,2088,847,4.13373,-73.6180067,4.1336983,-73.6179633,0,8199870,2020-07-11 11:57:25,2020-07-11 11:57:50,cliente en el momento está ocupado pasar el día lunes,,SI,2020-07-11 11:57:25,2020-07-11 11:57:50,f,t,f
93,21,2993,2972,847,4.1347532,-73.6155851,4.134965,-73.6154692,0,8199604,2020-07-11 12:03:58,2020-07-11 12:23:26,cliente nos abona a factura más vencida,,SI,2020-07-11 12:03:58,2020-07-11 12:23:26,f,t,f
94,21,1297,1269,847,4.1138986,-73.6076501,4.1135131,-73.6077472,0,8198675,2020-07-11 13:44:07,2020-07-11 14:01:44,enseñar el día lunes filtración ELIM FILTER,,SI,2020-07-11 13:44:07,2020-07-11 14:01:44,t,f,f
95,21,1498,1470,847,4.1506155,-73.6215593,4.1506247,-73.6215644,0,8200304,2020-07-13 06:35:49,2020-07-13 06:42:21,,,SI,2020-07-13 06:35:49,2020-07-13 06:42:21,t,f,f
96,21,762,734,847,4.150627,-73.6215706,4.1506337,-73.6215704,0,8200305,2020-07-13 06:42:54,2020-07-13 06:46:20,,,SI,2020-07-13 06:42:54,2020-07-13 06:46:20,t,f,f
97,21,762,734,847,4.1506281,-73.6215742,4.1506296,-73.6215626,0,8200305,2020-07-13 06:46:38,2020-07-13 06:48:53,,,SI,2020-07-13 06:46:38,2020-07-13 06:48:53,t,f,f
98,21,2992,2971,847,4.1506221,-73.621568,4.1506253,-73.6215705,0,8200305,2020-07-13 06:49:07,2020-07-13 06:53:24,,,SI,2020-07-13 06:49:07,2020-07-13 06:53:24,t,f,f
99,21,3176,3156,847,4.150625,-73.6215641,4.1506258,-73.6215668,0,8200304,2020-07-13 06:54:54,2020-07-13 06:57:10,,,SI,2020-07-13 06:54:54,2020-07-13 06:57:10,t,f,f
100,21,7721,7963,847,4.150623,-73.6215639,4.1506234,-73.6215716,0,8200304,2020-07-13 06:57:30,2020-07-13 07:15:24,,,SI,2020-07-13 06:57:30,2020-07-13 07:15:24,t,f,f
101,21,7721,7963,847,4.1506218,-73.6215644,4.1506262,-73.6215649,0,8200304,2020-07-13 07:15:38,2020-07-13 07:27:25,,,SI,2020-07-13 07:15:38,2020-07-13 07:27:25,t,f,f
102,74,1284,1256,847,0,0,0,0,0,0,2020-07-13 08:24:44,2020-07-13 08:25:18,,,SI,2020-07-13 08:24:44,2020-07-13 08:25:18,t,f,f
104,46,1194,1166,847,3.443939,-76.4929102,3.443939,-76.4929102,0,8517837,2020-07-13 08:35:49,2020-07-13 08:36:10,,,SI,2020-07-13 08:35:49,2020-07-13 08:36:10,t,f,f
103,74,2163,2139,847,0,0,0,0,0,0,2020-07-13 08:25:32,2020-07-13 08:58:37,,,SI,2020-07-13 08:25:32,2020-07-13 08:58:37,t,f,f
105,74,2259,2235,847,0,0,0,0,0,0,2020-07-13 08:58:53,2020-07-13 09:00:18,,,SI,2020-07-13 08:58:53,2020-07-13 09:00:18,t,f,f
106,38,1135,1107,847,4.0979152,-73.6502578,4.0979165,-73.6502557,0,8203369,2020-07-13 09:25:45,2020-07-13 09:32:33,,,SI,2020-07-13 09:25:45,2020-07-13 09:32:33,t,f,f
73,40,1071,1043,847,5.5459644,-73.3964966,5.5134869,-73.3537326,0,8179134,2020-07-10 17:10:58,2020-07-13 09:46:35,,,SI,2020-07-10 17:10:58,2020-07-13 09:46:35,t,f,f
107,38,2058,2033,847,4.0979066,-73.6502636,4.0979066,-73.6502636,0,8203369,2020-07-13 09:32:52,2020-07-13 09:34:48,,,SI,2020-07-13 09:32:52,2020-07-13 09:34:48,t,f,f
108,74,727,698,847,0,0,0,0,0,0,2020-07-13 09:32:57,2020-07-13 09:42:05,,,SI,2020-07-13 09:32:57,2020-07-13 09:42:05,t,f,f
109,46,2001,1976,847,3.4461443,-76.5035802,3.4461608,-76.503591,0,8519026,2020-07-13 09:34:17,2020-07-13 09:43:53,,,SI,2020-07-13 09:34:17,2020-07-13 09:43:53,t,f,f
112,46,2884,2863,847,3.4461464,-76.5035803,3.4461464,-76.5035803,0,8519026,2020-07-13 09:44:57,2020-07-13 09:46:44,,,SI,2020-07-13 09:44:57,2020-07-13 09:46:44,t,f,f
114,46,1194,1166,847,3.4461508,-76.5035898,3.4461508,-76.5035898,0,8519027,2020-07-13 09:46:54,2020-07-13 09:48:41,,,SI,2020-07-13 09:46:54,2020-07-13 09:48:41,t,f,f
115,46,2731,2710,847,3.4461719,-76.5036014,3.4461719,-76.5036014,0,8519028,2020-07-13 09:48:56,2020-07-13 09:49:53,,,SI,2020-07-13 09:48:56,2020-07-13 09:49:53,t,f,f
116,46,7725,7964,847,3.4461528,-76.5036042,3.4461528,-76.5036042,0,8519028,2020-07-13 09:50:13,2020-07-13 09:53:52,,,SI,2020-07-13 09:50:13,2020-07-13 09:53:52,t,f,f
110,38,749,721,847,4.0979082,-73.6502646,4.0978805,-73.6502727,0,8203369,2020-07-13 09:35:01,2020-07-13 09:58:02,,,SI,2020-07-13 09:35:01,2020-07-13 09:58:02,t,f,f
111,21,1130,1102,847,4.1400352,-73.5874676,4.1400198,-73.5874401,0,8196495,2020-07-13 09:41:51,2020-07-13 09:59:54,,,SI,2020-07-13 09:41:51,2020-07-13 09:59:54,t,f,f
117,38,1936,1911,847,4.097897,-73.650274,4.097897,-73.650274,0,8203370,2020-07-13 09:58:18,2020-07-13 10:06:01,,,SI,2020-07-13 09:58:18,2020-07-13 10:06:01,t,f,f
119,38,1936,1911,847,4.0978839,-73.6502645,4.0978839,-73.6502645,0,8203369,2020-07-13 10:10:41,2020-07-13 10:17:51,,,SI,2020-07-13 10:10:41,2020-07-13 10:17:51,t,f,f
120,46,2465,2443,847,3.4618588,-76.5206828,3.4564074,-76.5337984,0,8520951,2020-07-13 10:23:06,2020-07-13 10:34:29,,,SI,2020-07-13 10:23:06,2020-07-13 10:34:29,t,f,f
121,46,3131,3111,847,3.4560248,-76.5339656,,,0,8522417,2020-07-13 10:48:31,,,,NO,2020-07-13 10:48:31,2020-07-13 10:48:31,t,f,f
118,21,762,734,847,4.140015,-73.5874417,4.14098,-73.629485,0,8196492,2020-07-13 10:00:24,2020-07-13 11:04:29,,,SI,2020-07-13 10:00:24,2020-07-13 11:04:29,t,f,f
122,21,3029,3008,847,4.140995,-73.629555,4.1409837,-73.6294598,0,8201169,2020-07-13 11:10:36,2020-07-13 11:15:08,,,SI,2020-07-13 11:10:36,2020-07-13 11:15:08,f,t,f
123,21,3029,3008,847,4.1409556,-73.629457,4.1409717,-73.6294433,0,8201158,2020-07-13 11:26:40,2020-07-13 11:27:18,cliente nos abona a cartera vencida,,SI,2020-07-13 11:26:40,2020-07-13 11:27:18,f,t,f
124,34,2964,2943,847,3.4163738,-76.5391685,3.4163738,-76.5391685,0,8522934,2020-07-13 11:55:20,2020-07-13 11:55:41,,,SI,2020-07-13 11:55:20,2020-07-13 11:55:41,f,t,f
126,21,2832,2811,847,4.144354,-73.6318479,4.1441566,-73.6317336,0,8201431,2020-07-13 12:05:46,2020-07-13 12:09:06,,,SI,2020-07-13 12:05:46,2020-07-13 12:09:06,t,f,f
125,38,552,522,847,4.0979248,-73.6502203,4.0979248,-73.6502203,0,8203365,2020-07-13 11:58:37,2020-07-13 12:11:53,,,SI,2020-07-13 11:58:37,2020-07-13 12:11:53,t,f,f
128,38,749,721,847,4.0978925,-73.6502751,4.0978925,-73.6502751,0,8203371,2020-07-13 12:12:10,2020-07-13 12:12:53,,,SI,2020-07-13 12:12:10,2020-07-13 12:12:53,t,f,f
129,38,2191,2167,847,4.097895,-73.6502803,4.097895,-73.6502803,0,8203371,2020-07-13 12:22:11,2020-07-13 12:23:18,,,SI,2020-07-13 12:22:11,2020-07-13 12:23:18,t,f,f
131,46,2884,2863,847,3.4461527,-76.5036007,3.4461444,-76.5036745,0,8519028,2020-07-13 12:33:45,2020-07-13 12:43:25,,,SI,2020-07-13 12:33:45,2020-07-13 12:43:25,t,f,f
127,21,2832,2811,847,4.143995,-73.6318158,4.1454355,-73.5867632,0,8201427,2020-07-13 12:10:40,2020-07-13 13:03:12,,,SI,2020-07-13 12:10:40,2020-07-13 13:03:12,t,f,f
130,38,1087,1059,847,4.0979339,-73.6502378,4.0978844,-73.6502586,0,8203367,2020-07-13 12:23:35,2020-07-13 13:06:20,,,SI,2020-07-13 12:23:35,2020-07-13 13:06:20,t,f,f
134,38,186,156,847,4.0979186,-73.6502219,,,0,8203365,2020-07-13 13:46:53,,,,NO,2020-07-13 13:46:53,2020-07-13 13:46:53,t,f,f
135,34,2740,2719,847,3.3924412,-76.5458827,3.3923979,-76.5458636,0,8523643,2020-07-13 14:41:08,2020-07-13 14:41:16,,,SI,2020-07-13 14:41:08,2020-07-13 14:41:16,t,f,f
133,21,1387,1359,847,4.145435,-73.5867633,4.139408,-73.6327833,0,8196429,2020-07-13 13:03:37,2020-07-13 15:06:46,,,SI,2020-07-13 13:03:37,2020-07-13 15:06:46,t,f,f
113,40,174,145,847,5.5134701,-73.353703,5.5492817,-73.3599833,0,8174293,2020-07-13 09:46:50,2020-07-13 15:07:17,,,SI,2020-07-13 09:46:50,2020-07-13 15:07:17,t,f,f
137,21,2061,2036,847,4.1393999,-73.6327733,4.1394974,-73.6328512,0,8201523,2020-07-13 15:07:01,2020-07-13 15:20:25,cliente nos cancela saldo de factura,,SI,2020-07-13 15:07:01,2020-07-13 15:20:25,f,t,f
139,21,3185,3165,847,4.1395492,-73.6324165,4.1396257,-73.6327639,0,8201483,2020-07-13 15:31:31,2020-07-13 15:36:49,se radica factura pendiente,,SI,2020-07-13 15:31:31,2020-07-13 15:36:49,t,f,f
